La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
2.88,5.32,0.78,2.44,0.59,0.15,0.59,0.09,0.54,0.11,0.3,0.05,0.28,0.05
4.26,7.97,1.15,3.85,0.92,0.21,0.92,0.15,0.82,0.17,0.45,0.07,0.41,0.06
1.94,2.92,0.56,1.36,0.37,0.09,0.33,0.05,0.31,0.07,0.18,0.03,0.17,0.02
2.47,3.56,0.64,1.88,0.45,0.11,0.44,0.07,0.39,0.08,0.22,0.03,0.2,0.03
3.88,7.49,1.06,3.4,0.8,0.19,0.77,0.12,0.65,0.13,0.33,0.05,0.31,0.05
3.76,6.79,0.97,3.25,0.77,0.22,0.74,0.12,0.62,0.13,0.33,0.05,0.31,0.05
5.33,11.16,1.51,5.57,1.31,0.37,1.28,0.2,1.09,0.22,0.56,0.08,0.49,0.07
3.62,6.91,1.06,3.7,0.87,0.23,0.91,0.14,0.82,0.16,0.41,0.06,0.37,0.05
3.68,7.09,1.07,3.76,0.89,0.27,0.94,0.15,0.81,0.16,0.42,0.06,0.36,0.06
2.53,3.86,0.69,1.95,0.51,0.11,0.47,0.07,0.42,0.09,0.24,0.04,0.23,0.04
2.38,3.33,0.59,1.68,0.4,0.1,0.4,0.06,0.36,0.08,0.21,0.03,0.2,0.03
2.2,4.38,0.62,1.96,0.43,0.11,0.44,0.06,0.37,0.08,0.2,0.03,0.19,0.03
