location,Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,raw_longitude,longitude,latitude,CTDPRS_T_VALUE_SENSOR [dbar],QV:SEADATANET,depth,QV:SEADATANET,Y_D_CONC_BOTTLE [pmol/kg],STANDARD_DEV,QV:SEADATANET,Y_D_CONC_FISH [pmol/kg],QV:SEADATANET,La,STANDARD_DEV,QV:SEADATANET,La_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,La_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,La_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Ce,STANDARD_DEV,QV:SEADATANET,Ce_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Ce_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Ce_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Pr,STANDARD_DEV,QV:SEADATANET,Pr_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Pr_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Pr_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Nd,STANDARD_DEV,QV:SEADATANET,Nd_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Nd_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Nd_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Sm,STANDARD_DEV,QV:SEADATANET,Sm_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Sm_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Sm_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Eu,STANDARD_DEV,QV:SEADATANET,Eu_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Eu_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Eu_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Gd,STANDARD_DEV,QV:SEADATANET,Gd_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Gd_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Gd_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Tb,STANDARD_DEV,QV:SEADATANET,Tb_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Tb_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Tb_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Dy,STANDARD_DEV,QV:SEADATANET,Dy_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Dy_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Dy_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Ho,STANDARD_DEV,QV:SEADATANET,Ho_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Ho_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Ho_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Er,STANDARD_DEV,QV:SEADATANET,Er_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Er_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Er_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Tm,STANDARD_DEV,QV:SEADATANET,Tm_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Tm_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Tm_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Yb,STANDARD_DEV,QV:SEADATANET,Yb_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Yb_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Yb_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,Lu,STANDARD_DEV,QV:SEADATANET,Lu_D_CONC_FISH [pmol/kg],STANDARD_DEV,QV:SEADATANET,Lu_D_CONC_UWAY [pmol/kg],STANDARD_DEV,QV:SEADATANET,Lu_D_CONC_BOAT_PUMP [pmol/kg],STANDARD_DEV,QV:SEADATANET,QV:ODV:SAMPLE
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,24.1,0,23.9,0,140.635132,,5,,9,19.47473,,1,,,9,,,9,,,9,14.333636,,1,,,9,,,9,,,9,3.647191,,1,,,9,,,9,,,9,16.320028,,1,,,9,,,9,,,9,3.101465,,1,,,9,,,9,,,9,0.934788,,1,,,9,,,9,,,9,4.627342,,1,,,9,,,9,,,9,0.765122,,1,,,9,,,9,,,9,5.565683,,1,,,9,,,9,,,9,1.445829,,1,,,9,,,9,,,9,4.508715,,1,,,9,,,9,,,9,0.607171,,1,,,9,,,9,,,9,3.79999,,1,,,9,,,9,,,9,0.579948,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,35,0,34.7,0,142.798294,,5,,9,20.845755,,1,,,9,,,9,,,9,16.887186,,1,,,9,,,9,,,9,3.897719,,1,,,9,,,9,,,9,16.561304,,1,,,9,,,9,,,9,3.444644,,1,,,9,,,9,,,9,0.983839,,1,,,9,,,9,,,9,4.938366,,1,,,9,,,9,,,9,0.802596,,1,,,9,,,9,,,9,5.875991,,1,,,9,,,9,,,9,1.472963,,1,,,9,,,9,,,9,4.63153,,1,,,9,,,9,,,9,0.630057,,1,,,9,,,9,,,9,3.855863,,1,,,9,,,9,,,9,0.613831,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,39.9,0,39.6,0,139.513657,,5,,9,18.361498,,1,,,9,,,9,,,9,12.796327,,1,,,9,,,9,,,9,3.518812,,1,,,9,,,9,,,9,15.199455,,1,,,9,,,9,,,9,3.13025,,1,,,9,,,9,,,9,0.934371,,1,,,9,,,9,,,9,4.587365,,1,,,9,,,9,,,9,0.772829,,1,,,9,,,9,,,9,5.80047,,1,,,9,,,9,,,9,1.449741,,1,,,9,,,9,,,9,4.620785,,1,,,9,,,9,,,9,0.631402,,1,,,9,,,9,,,9,3.872933,,1,,,9,,,9,,,9,0.625943,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,68.5,0,68,0,141.210068,,5,,9,19.051346,,1,,,9,,,9,,,9,11.228178,,1,,,9,,,9,,,9,3.357544,,1,,,9,,,9,,,9,14.329841,,1,,,9,,,9,,,9,2.889282,,1,,,9,,,9,,,9,0.824531,,1,,,9,,,9,,,9,4.290338,,1,,,9,,,9,,,9,0.748298,,1,,,9,,,9,,,9,5.379701,,1,,,9,,,9,,,9,1.420948,,1,,,9,,,9,,,9,4.540745,,1,,,9,,,9,,,9,0.621412,,1,,,9,,,9,,,9,3.808411,,1,,,9,,,9,,,9,0.592847,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,136.4,0,135.5,0,145.352585,,5,,9,20.900167,,1,,,9,,,9,,,9,10.069885,,1,,,9,,,9,,,9,3.775299,,1,,,9,,,9,,,9,16.867811,,1,,,9,,,9,,,9,3.151309,,1,,,9,,,9,,,9,0.895303,,1,,,9,,,9,,,9,4.734738,,1,,,9,,,9,,,9,0.804865,,1,,,9,,,9,,,9,5.787616,,1,,,9,,,9,,,9,1.488786,,1,,,9,,,9,,,9,4.678341,,1,,,9,,,9,,,9,0.643399,,1,,,9,,,9,,,9,4.199904,,1,,,9,,,9,,,9,0.63096,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,200.7,0,199.3,0,141.111862,,5,,9,21.038637,,1,,,9,,,9,,,9,6.442324,,1,,,9,,,9,,,9,3.73605,,1,,,9,,,9,,,9,16.059122,,1,,,9,,,9,,,9,3.32019,,1,,,9,,,9,,,9,0.939499,,1,,,9,,,9,,,9,4.637073,,1,,,9,,,9,,,9,0.777442,,1,,,9,,,9,,,9,5.795767,,1,,,9,,,9,,,9,1.448157,,1,,,9,,,9,,,9,4.730883,,1,,,9,,,9,,,9,0.646931,,1,,,9,,,9,,,9,4.027223,,1,,,9,,,9,,,9,0.650507,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,302.4,0,300.2,0,138.321762,,5,,9,21.0137,,1,,,9,,,9,,,9,5.370219,,1,,,9,,,9,,,9,3.839487,,1,,,9,,,9,,,9,15.95041,,1,,,9,,,9,,,9,3.229535,,1,,,9,,,9,,,9,0.930219,,1,,,9,,,9,,,9,4.706634,,1,,,9,,,9,,,9,0.772068,,1,,,9,,,9,,,9,5.550778,,1,,,9,,,9,,,9,1.41773,,1,,,9,,,9,,,9,4.586242,,1,,,9,,,9,,,9,0.636869,,1,,,9,,,9,,,9,4.096719,,1,,,9,,,9,,,9,0.645116,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,403.8,0,400.7,0,141.585541,,5,,9,23.48625,,1,,,9,,,9,,,9,7.642183,,1,,,9,,,9,,,9,4.286652,,1,,,9,,,9,,,9,18.170387,,1,,,9,,,9,,,9,3.448527,,1,,,9,,,9,,,9,0.982221,,1,,,9,,,9,,,9,5.066143,,1,,,9,,,9,,,9,0.812498,,1,,,9,,,9,,,9,5.850744,,1,,,9,,,9,,,9,1.518995,,1,,,9,,,9,,,9,4.852536,,1,,,9,,,9,,,9,0.658287,,1,,,9,,,9,,,9,4.229166,,1,,,9,,,9,,,9,0.68546,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,505.9,0,501.9,0,147.848389,,5,,9,23.857512,,1,,,9,,,9,,,9,7.380705,,1,,,9,,,9,,,9,4.489644,,1,,,9,,,9,,,9,18.446646,,1,,,9,,,9,,,9,3.765138,,1,,,9,,,9,,,9,1.063918,,1,,,9,,,9,,,9,5.335185,,1,,,9,,,9,,,9,0.861973,,1,,,9,,,9,,,9,6.175115,,1,,,9,,,9,,,9,1.550032,,1,,,9,,,9,,,9,5.198641,,1,,,9,,,9,,,9,0.709775,,1,,,9,,,9,,,9,4.617143,,1,,,9,,,9,,,9,0.69329,,1,,,9,,,9,,,9,1
GA03Station 1,GA03,Station 1,B,2010-10-17T00:13:29,350.33792,-9.66208,38.3271,647.5,0,642.1,0,148.195374,,1,,9,21.057671,,1,,,9,,,9,,,9,5.874893,,1,,,9,,,9,,,9,3.923725,,1,,,9,,,9,,,9,17.396809,,1,,,9,,,9,,,9,3.57677,,1,,,9,,,9,,,9,1.062142,,1,,,9,,,9,,,9,5.314704,,1,,,9,,,9,,,9,0.866496,,1,,,9,,,9,,,9,6.479847,,1,,,9,,,9,,,9,1.603854,,1,,,9,,,9,,,9,5.291167,,1,,,9,,,9,,,9,0.722426,,1,,,9,,,9,,,9,4.614501,,1,,,9,,,9,,,9,0.754611,,1,,,9,,,9,,,9,1
